구분,진단코드,진단항목,취약도,점검결과
암호화,OT-17,Dashboard의 SECURE_PROXY_SSL_HEAEDER 설정,상,N/A
암호화,OT-18,Compute 인증을 위한 보안프로토콜 사용,상,취약
암호화,OT-19,Nova와 Glance의 안전한 통신,상,취약
암호화,OT-20,블록 스토리지 서비스 인증을 위한 TLS 활성화,상,취약
암호화,OT-21,cinder와 nova의 TLS 통신,상,취약
암호화,OT-22,cinder와 glance의 TLS 통신,상,취약
암호화,OT-23,이미지 스토리지 서비스 인증을 위한 TLS 활성화,상,취약
암호화,OT-24,공유 파일 시스템 인증을 위한 TLS 활성화,상,N/A
암호화,OT-25,TLS를 이용한 공유 파일 시스템과 Compute 통신,상,N/A
암호화,OT-26,TLS를 이용한 공유 파일 시스템과 네트워킹연결,상,N/A
암호화,OT-27,TLS를 이용한 공유 파일 시스템과 블록 스토리지 서비스와의 연결,상,N/A
암호화,OT-28,네트워킹 서비스의 인증을 위한 안전한 프로토콜 사용,상,취약
암호화,OT-29,Neutron API 서버의 TLS 활성화,상,취약
보안설정,OT-30,Identity 서비스 max_request_body_size 설정,상,양호
보안설정,OT-31,admin 토큰 비활성화,상,N/A
보안설정,OT-32,Dashboard의 DISALLOW_IFRAME_EMBED 설정,상,N/A
보안설정,OT-33,Dashboard의 CSFR_COOKIE_SECURE 설정,상,N/A
보안설정,OT-34,Dashboard의 SESSION_COOKIE_SECURE 설정,상,N/A
보안설정,OT-35,Dashboard의 SESSION_COOKIE_HTTPONLY 설정,상,N/A
보안설정,OT-36,Dashboard의 PASSWORD_AUTOCOMPLE 설정,상,N/A
보안설정,OT-37,Dashboard의 DISABLE_PASSWORD_REVEAL 설정,상,N/A
보안설정,OT-38,Dashboard의 ENFORCE_PASSWORD_CHECK 설정,상,N/A
보안설정,OT-39,Dashboard의 PASSWORD_VALIDATOR 설정,상,N/A
보안설정,OT-40,Compute의 인증을 위한 keystone 사용,상,취약
보안설정,OT-41,블록 스토리지 서비스의 인증을 위한 keystone 사용,상,취약
보안설정,OT-42,안전한 환경에서의 NAS 운영,상,N/A
보안설정,OT-43,블록 스토리지 서비스에서 요청 본문 최대 크기 설정,상,양호
보안설정,OT-44,블록 스토리지 볼륨 암호화,상,N/A
보안설정,OT-45,이미지 스토리지 서비스 인증을 위한 keystone 설정,상,N/A
보안설정,OT-46,공유파일 시스템 인증을 위한 오픈스택 Identity 사용,상,N/A
보안설정,OT-47,공유파일 시스템에서 요청 본문 최대 사이즈 설정,상,N/A
